"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"LSEG US","UK/London Stock Exchange Group","$87598","$46500","$41098"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$126000","$64500","$65000"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$156750","$53500","$103250"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$46000","$24500","$21500"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$20000","$7500","$12500"
"MBDA Inc","UK/MBDA","$12000","$0","$12000"
"Medtronic Inc","Ireland/Medtronic Plc","$194500","$92000","$101500"
"Mercedes-Benz USA (Mercedes-Benz Group)","Germany/Mercedes-Benz Group","$5000","$2000","$3000"
"Messer North America","Germany/Messer Group","$7000","$2000","$5000"
"Mitsubishi Power (Mitsubishi Heavy Industries)","Japan/Mitsubishi Heavy Industries","$2500","$2500","$0"
"Mizuho Americas","Japan/Mizuho Financial Group","$7000","$4000","$3000"
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$61104","$19604","$41500"
"Munich American Reassurance","Germany/Munich Re Group","$12500","$5000","$7500"
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$13750","$5250","$8500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$66000","$39000","$26500"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$0","$0","$0"
"Nomura Holding America","Japan/Nomura Holdings","$123000","$53000","$70000"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$285500","$135500","$145000"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$354500","$184000","$175500"
"Novocure Inc","UK/Novocure","$176000","$75500","$100500"
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$88500","$24500","$64000"
"Optiver Americas","Netherlands/Optiver","$30700","$16600","$14100"
"Orano USA (Orano Group)","France/Orano Group","$2500","$0","$2500"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$164500","$70000","$91000"
"Outokumpu Stainless USA","Finland/Outokumpu","$2500","$0","$2500"
"Pernod Ricard USA","France/Pernod Ricard SA","$32500","$7500","$25000"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$15000","$10000","$7000"
"Philips Electronics North America (Philips)","Netherlands/Philips","$162000","$64500","$97500"
"Prime Policy Group (WPP plc)","UK/WPP plc","$42700","$17250","$20450"
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$246500","$70500","$176000"
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$28500","$6000","$25000"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$24189","$10000","$14189"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$76500","$35500","$41000"
"Recurrent Energy","Canada/Canadian Solar","$3500","$0","$3500"
"RELX Inc","UK/RELX Group","$108500","$43500","$65000"
"Resolute FP US","Canada/Paper Excellence","$76500","$8500","$68000"
"Reworld Waste","Sweden/EQT AB","$72000","$54500","$17500"
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$218500","$60000","$157000"
"Rio Tinto America","UK/Rio Tinto Group","$14000","$2500","$11500"
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$101000","$48500","$52500"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$217000","$85000","$132000"
"Saab North America","Sweden/Saab AB","$53600","$22300","$31300"
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$12000","$1000","$11000"
"Safelite Group","Belgium/D'Ieteren SA","$1000","$1000","$0"
"Samsung Electronics America","South Korea/Samsung Group","$338000","$173500","$160500"
"Sanofi US (Sanofi)","France/Sanofi","$228000","$100000","$128000"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$94773","$53273","$44000"
"SAP America","Germany/SAP SE","$143000","$75000","$68000"
"Schwan's Co","South Korea/CJ CheilJedang","$148000","$42000","$106000"
"Securitas Security Services USA","Sweden/Securitas AB","$3000","$2000","$1000"
"Serco Inc","UK/Serco Group","$135599","$55000","$80599"
"Shell USA","UK/Shell plc","$0","$0","$0"
"Siemens Corp (Siemens AG)","Germany/Siemens AG","$216000","$102500","$113500"
"Siemens Healthineers (Siemens AG)","Germany/Siemens AG","$50500","$23500","$27000"
"Smith & Nephew","UK/Smith & Nephew Plc","$156000","$67000","$89000"
"Smithfield Foods","China/WH Group","$24250","$12500","$11750"
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$23500","$5000","$18500"
"Sodexo Inc","France/Sodexo","$1000","$0","$1000"
"Solvay America","Belgium/Solvay SA","$31500","$11500","$17500"
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$31000","$18500","$12500"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$29000","$18500","$10500"
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$18000","$7000","$12500"
"SSAB Americas","Sweden/SSAB AB","$34000","$6000","$28000"
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$3000","$1500","$1500"
"Steris Corp","Ireland/Steris PLC","$64000","$19000","$45000"
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$132500","$56500","$68500"
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$43300","$22800","$20500"
"Sunpower Corp","France/TotalEnergies","$5000","$2500","$2500"
"Suntory Global Spirits (Suntory Holdings)","Japan/Suntory Holdings","$87557","$37500","$50057"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$93500","$29500","$64000"
"Swiss Re America","Switzerland/Swiss Reinsurance","$0","$0","$0"
"Syngenta Corp","China/ChemChina","$430000","$76000","$354000"
"T-Mobile USA (Deutsche Telekom)","Germany/Deutsche Telekom AG","$958000","$480500","$471000"
"Tabacalera USA (Imperial Brands)","UK/Imperial Brands","$2900","$1000","$1900"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$186500","$77500","$114000"
"TD Bank USA","Canada/Toronto-Dominion Bank","$464500","$245500","$212500"
"TE Connectivity","Switzerland/TE Connectivity","$105000","$33000","$72000"
"TECO Energy","Canada/Emera Inc","$49000","$5000","$44000"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$58500","$19500","$39500"
"Thales USA","France/Thales Group","$63500","$31500","$32000"
"Toyota Motor North America","Japan/Toyota Motor Corp","$1151840","$460340","$692000"
"Trane Technologies","Ireland/Trane Technologies","$36000","$9000","$27000"
"TransAmerica","Netherlands/Aegon NV","$421500","$207000","$212500"
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$116350","$28000","$90850"
"UBS Americas (UBS AG)","Switzerland/UBS AG","$1717000","$837000","$865000"
"UCB Inc (UCB SA)","Belgium/UCB SA","$37500","$18500","$19000"
"Universal Music Group (Universal Music Group)","Netherlands/Universal Music Group NV","$99500","$51000","$48500"
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$12000","$4000","$8000"
"Veolia North America","France/Veolia Environnement","$0","$0","$0"
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$86000","$38000","$48000"
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$19650","$11150","$8500"
"Westinghouse Electric (Brookfield Asset Management)","Canada/Brookfield Asset Management","$76300","$26000","$50300"
"WSP USA","Canada/WSP Global","$47500","$23500","$23000"
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$0","$0","$0"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$329348","$160348","$170500"
