file,PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"data/Foreign Connected PACs, 2007-2008.csv",BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$125,500","$9,500","$116,000"
"data/Foreign Connected PACs, 2007-2008.csv",BMO Harris Bank,Canada/Bank of Montreal,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$87,800","$33,000","$54,800"
"data/Foreign Connected PACs, 2007-2008.csv",Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$4,500","$3,000","$1,500"
"data/Foreign Connected PACs, 2007-2008.csv",BP North America,UK/BP PLC,"$198,500","$81,500","$117,000"
"data/Foreign Connected PACs, 2007-2008.csv",Bridgestone Americas,Japan/Bridgestone Corp,"$113,000","$56,000","$57,000"
"data/Foreign Connected PACs, 2007-2008.csv",Burson-Marsteller (WPP Group),UK/WPP Group,"$58,500","$35,500","$21,500"
"data/Foreign Connected PACs, 2007-2008.csv",Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$23,250","$4,250","$19,000"
"data/Foreign Connected PACs, 2007-2008.csv",CalPortland Co,Japan/Taiheiyo Cement Co,"$204,500","$53,000","$151,500"
"data/Foreign Connected PACs, 2007-2008.csv",Case New Holland,Italy/Fiat SPA,"$60,000","$15,000","$45,000"
"data/Foreign Connected PACs, 2007-2008.csv",CEMEX Inc,Mexico/CEMEX SAB de CV,"$178,100","$68,600","$109,500"
"data/Foreign Connected PACs, 2007-2008.csv",CGI Technologies & Solutions,Canada/CGI Group,"$21,000","$14,000","$7,000"
"data/Foreign Connected PACs, 2007-2008.csv",Ciba Inc,Switzerland/Ciba Specialty Chemicals Holding,"$14,900","$5,000","$9,900"
"data/Foreign Connected PACs, 2007-2008.csv",Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$155,900","$129,650","$26,250"
"data/Foreign Connected PACs, 2007-2008.csv",Cobham Management Services,UK/Cobham PLC,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Commerce Bancorp,Canada/Toronto-Dominion Bank,"$35,000","$25,000","$10,000"
"data/Foreign Connected PACs, 2007-2008.csv",Cooper Industries,Ireland/Cooper Industries Ltd,"$156,700","$77,000","$79,700"
"data/Foreign Connected PACs, 2007-2008.csv",Covidien US,UK/Covidien Ltd,"$111,500","$45,000","$66,500"
"data/Foreign Connected PACs, 2007-2008.csv",Credit Suisse Securities,Switzerland/Credit Suisse Group,"$517,000","$274,500","$242,500"
"data/Foreign Connected PACs, 2007-2008.csv",CSL Behring,Australia/CSL Ltd,"$16,750","$5,500","$11,250"
"data/Foreign Connected PACs, 2007-2008.csv",Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$33,900","$14,600","$19,300"
"data/Foreign Connected PACs, 2007-2008.csv",Deutsche Bank Securities,Germany/Deutsche Bank AG,"$7,400","$7,400",$0
"data/Foreign Connected PACs, 2007-2008.csv",DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$15,000","$7,000","$8,000"
"data/Foreign Connected PACs, 2007-2008.csv",Diageo North America (Diageo PLC),UK/Diageo PLC,"$103,500","$69,500","$34,000"
"data/Foreign Connected PACs, 2007-2008.csv",DRS Technologies,Italy/Finmeccanica SpA,"$304,900","$123,500","$181,400"
"data/Foreign Connected PACs, 2007-2008.csv",E ON US,Germany/Eon AG,"$21,000","$6,000","$15,000"
"data/Foreign Connected PACs, 2007-2008.csv",EADS North America,Netherlands/European Aeronautic Defence & Space Co,"$149,700","$66,600","$83,100"
"data/Foreign Connected PACs, 2007-2008.csv",Eisai Inc,Japan/Eisai Co Ltd,"$8,500","$2,500","$6,000"
"data/Foreign Connected PACs, 2007-2008.csv",Elbit Systems of America,Israel/Elbit Systems Ltd,"$7,500","$4,000","$3,500"
"data/Foreign Connected PACs, 2007-2008.csv",EmCare Inc (Onex Corp),Canada/Onex Corp,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",EMD Serono Inc,Germany/Merck KGaA,"$62,500","$35,000","$27,500"
"data/Foreign Connected PACs, 2007-2008.csv",EnCana Oil & Gas USA,Canada/EnCana Corp,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Essroc Corp,Italy/Italcementi Group,"$9,500","$4,500","$5,000"
"data/Foreign Connected PACs, 2007-2008.csv",Experian,UK/Experian,"$384,781","$139,000","$245,781"
"data/Foreign Connected PACs, 2007-2008.csv",Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$161,400","$45,000","$116,400"
"data/Foreign Connected PACs, 2007-2008.csv",First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$1,000","$1,000",$0
"data/Foreign Connected PACs, 2007-2008.csv",Food Lion,Belgium/Delhaize Group,"$54,250","$24,000","$30,250"
"data/Foreign Connected PACs, 2007-2008.csv",Foster Wheeler,Switzerland/Foster Wheeler PLC,"$2,500",$0,"$2,500"
"data/Foreign Connected PACs, 2007-2008.csv",Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$92,400","$68,700","$23,700"
"data/Foreign Connected PACs, 2007-2008.csv",Gateway Inc,Taiwan/Acer Inc,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",GDF Suez Energy North America,France/GDF SUEZ,"$75,000","$36,500","$38,500"
"data/Foreign Connected PACs, 2007-2008.csv",Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$262,500","$186,000","$76,500"
"data/Foreign Connected PACs, 2007-2008.csv",GKN Corp,UK/GKN PLC,"$3,000",$500,"$2,500"
"data/Foreign Connected PACs, 2007-2008.csv",Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$250,$0,$250
"data/Foreign Connected PACs, 2007-2008.csv",GlaxoSmithKline,UK/GlaxoSmithKline,"$811,420","$328,870","$482,550"
"data/Foreign Connected PACs, 2007-2008.csv",Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$29,050","$18,700","$10,350"
"data/Foreign Connected PACs, 2007-2008.csv",Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$21,500","$13,500","$8,000"
"data/Foreign Connected PACs, 2007-2008.csv",Greyhound Lines,UK/FirstGroup PLC,"$26,000","$16,500","$9,500"
"data/Foreign Connected PACs, 2007-2008.csv",Hanson Building Products North America,Germany/Spohn Cement Gmbh,"$5,787","$3,787","$2,000"
"data/Foreign Connected PACs, 2007-2008.csv",Heineken USA,Netherlands/L'Arche Green NV,"$56,500","$40,500","$16,000"
"data/Foreign Connected PACs, 2007-2008.csv",Henkel Corp (Henkel KGaA),Germany/Henkel KGaA,"$14,000","$11,000","$3,000"
"data/Foreign Connected PACs, 2007-2008.csv",Herbalife International of America,UK/Herbalife International,"$45,413","$27,414","$17,999"
"data/Foreign Connected PACs, 2007-2008.csv",Hill & Knowlton (WPP Group),UK/WPP Group,"$5,000","$3,000","$2,000"
"data/Foreign Connected PACs, 2007-2008.csv",Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$309,500","$168,500","$141,000"
"data/Foreign Connected PACs, 2007-2008.csv",Holcim US,Switzerland/Holcim Ltd,"$121,500","$87,000","$34,500"
"data/Foreign Connected PACs, 2007-2008.csv",Horizon Wind Energy,Portugal/EDP Renovaveis,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",HSBC North America,UK/HSBC Holdings,"$524,250","$257,000","$267,250"
"data/Foreign Connected PACs, 2007-2008.csv",Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$22,000","$18,000","$4,000"
"data/Foreign Connected PACs, 2007-2008.csv",Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$30,500","$20,500","$10,000"
"data/Foreign Connected PACs, 2007-2008.csv",Indra Systems,Spain/Indra Systems SA,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Infineon Technologies,Germany/Infineon Technologies AG,"$3,000","$3,000",$0
"data/Foreign Connected PACs, 2007-2008.csv",ING US (ING Group),Netherlands/ING Group,"$108,000","$71,500","$36,500"
"data/Foreign Connected PACs, 2007-2008.csv",Intelsat US (Serafina SA),Luxembourg/Serafina SA,"$30,500","$18,500","$12,000"
"data/Foreign Connected PACs, 2007-2008.csv",International Power America,UK/International Power,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",International Securities Exchange,Germany/Deutsche Boerse,"$35,600","$19,100","$16,500"
"data/Foreign Connected PACs, 2007-2008.csv",Jackson National Life Insurance,UK/Prudential PLC,"$71,000","$19,750","$51,250"
"data/Foreign Connected PACs, 2007-2008.csv",JBS USA,Brazil/JBS SA,"$78,500","$25,000","$53,500"
"data/Foreign Connected PACs, 2007-2008.csv",John Hancock Financial Services,Canada/Manulife Financial,"$103,000","$68,000","$35,000"
"data/Foreign Connected PACs, 2007-2008.csv",LaFarge North America,France/Lafarge SA,"$61,500","$25,000","$36,500"
"data/Foreign Connected PACs, 2007-2008.csv",Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$4,000",$0,"$4,000"
"data/Foreign Connected PACs, 2007-2008.csv",Lehigh Cement,Germany/HeidelbergCement AG,"$57,567","$32,000","$25,567"
"data/Foreign Connected PACs, 2007-2008.csv",Lone Star Industries,Italy/Buzzi Unicem,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$104,750","$45,500","$59,250"
"data/Foreign Connected PACs, 2007-2008.csv",Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$171,500","$84,500","$87,000"
"data/Foreign Connected PACs, 2007-2008.csv",Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$39,000","$23,000","$16,000"
"data/Foreign Connected PACs, 2007-2008.csv",McDermott International (McDermott International),Panama/McDermott International,"$25,000","$4,500","$20,500"
"data/Foreign Connected PACs, 2007-2008.csv",Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$92,600","$59,100","$33,500"
"data/Foreign Connected PACs, 2007-2008.csv",Metallurg Vanadium Corp,Netherlands/AMG Advanced Metallurgical Group,$250,$250,$0
"data/Foreign Connected PACs, 2007-2008.csv",Metro-Goldwyn-Mayer (Sony Corp),Japan/Sony Corp,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Millennium Pharmaceuticals,Japan/Takeda Pharmaceutical Co,"$10,000","$7,500","$2,500"
"data/Foreign Connected PACs, 2007-2008.csv",Miller Brewing (SABMiller),UK/SABMiller PLC,"$194,000","$99,500","$94,500"
"data/Foreign Connected PACs, 2007-2008.csv",MillerCoors LLC (SABMiller),UK/SABMiller PLC,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",National Grid USA (National Grid plc),UK/National Grid plc,"$51,800","$36,300","$15,500"
"data/Foreign Connected PACs, 2007-2008.csv",National Grid USA (National Grid plc),UK/National Grid plc,"$67,600","$52,150","$15,450"
"data/Foreign Connected PACs, 2007-2008.csv",Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$22,750","$5,250","$17,500"
"data/Foreign Connected PACs, 2007-2008.csv",Nestle USA (Nestle SA),Switzerland/Nestle,"$15,900","$8,900","$7,000"
"data/Foreign Connected PACs, 2007-2008.csv",Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$15,500","$4,000","$11,500"
"data/Foreign Connected PACs, 2007-2008.csv",Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$359,050","$139,050","$220,000"
"data/Foreign Connected PACs, 2007-2008.csv",Novartis Vaccines & Diagnostics (Novartis AG),Switzerland/Novartis AG,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Novo Nordisk,Denmark/Novo Nordisk A/S,"$96,044","$56,544","$39,500"
"data/Foreign Connected PACs, 2007-2008.csv",Oldcastle Materials,Ireland/CRH PLC,"$403,100","$205,100","$198,000"
"data/Foreign Connected PACs, 2007-2008.csv",Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$8,500","$3,000","$5,500"
"data/Foreign Connected PACs, 2007-2008.csv",Pharmavite LLC,Japan/Otsuka Pharmaceutical,"$42,168","$23,668","$18,500"
"data/Foreign Connected PACs, 2007-2008.csv",Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$114,046","$39,296","$74,750"
"data/Foreign Connected PACs, 2007-2008.csv",Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,"($2,000)","($1,000)","($1,000)"
"data/Foreign Connected PACs, 2007-2008.csv",PotashCorp,Canada/Potash Corporation of Saskatchewan,"$25,000","$5,000","$20,000"
"data/Foreign Connected PACs, 2007-2008.csv",Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$17,000","$11,000","$6,000"
"data/Foreign Connected PACs, 2007-2008.csv",QBE Regional Insurance,Australia/QBE Insurance Group,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Qimonda North America,Germany/Qimonda AG,"$7,500","$5,500","$2,000"
"data/Foreign Connected PACs, 2007-2008.csv",QinetiQ North America (Qinetiq Group),UK/QinetiQ Group,"$33,800","$19,200","$14,600"
"data/Foreign Connected PACs, 2007-2008.csv",RBC Centura Banks (Royal Bank of Canada),Canada/Royal Bank of Canada,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Reebok International,Germany/adidas AG,$500,$500,$0
"data/Foreign Connected PACs, 2007-2008.csv",Reed Elsevier Inc,UK/Reed Elsevier Group,"$121,300","$74,800","$46,500"
"data/Foreign Connected PACs, 2007-2008.csv",Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$3,000","$3,000",$0
"data/Foreign Connected PACs, 2007-2008.csv",Research In Motion,Canada/Research in Motion,"$19,500","$11,000","$8,500"
"data/Foreign Connected PACs, 2007-2008.csv",Rio Tinto America,UK/Rio Tinto Group,"$43,000","$19,000","$24,000"
"data/Foreign Connected PACs, 2007-2008.csv",Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$186,500","$72,500","$114,000"
"data/Foreign Connected PACs, 2007-2008.csv",Sanofi-Aventis US (Sanofi-Aventis),France/Sanofi-Aventis,"$105,500","$59,500","$46,000"
"data/Foreign Connected PACs, 2007-2008.csv",Sanofi-Pasteur Inc (Sanofi-Aventis),France/Sanofi-Aventis,"$52,000","$28,000","$24,000"
"data/Foreign Connected PACs, 2007-2008.csv",Santander Bank (Banco Santander),Spain/Banco Santander,"$10,525","$6,525","$4,000"
"data/Foreign Connected PACs, 2007-2008.csv",SAP America,Germany/SAP AG,"$150,500","$80,500","$70,000"
"data/Foreign Connected PACs, 2007-2008.csv",Schaeffler Group USA,Germany/Schaeffler Group,"$5,800","$3,500","$2,300"
"data/Foreign Connected PACs, 2007-2008.csv",Securitas Security Services USA,Sweden/Securitas AB,"$15,500","$6,000","$9,500"
"data/Foreign Connected PACs, 2007-2008.csv",SES Americom (SES SA),Luxembourg/SES SA,"$16,500","$9,500","$7,000"
"data/Foreign Connected PACs, 2007-2008.csv",Shell Oil,Netherlands/Royal Dutch Shell,"$75,000","$25,000","$50,000"
"data/Foreign Connected PACs, 2007-2008.csv",Shire Pharmaceuticals,UK/Shire Plc,"$1,250",$250,"$1,000"
"data/Foreign Connected PACs, 2007-2008.csv",SI International,UK/Serco Group,"$171,750","$81,500","$90,250"
"data/Foreign Connected PACs, 2007-2008.csv",Siemens Corp (Siemens AG),Germany/Siemens AG,"$303,000","$177,500","$125,500"
"data/Foreign Connected PACs, 2007-2008.csv",Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$2,300","$2,300",$0
"data/Foreign Connected PACs, 2007-2008.csv",Smith & Nephew,UK/Smith & Nephew Plc,"$28,300","$13,000","$15,300"
"data/Foreign Connected PACs, 2007-2008.csv",Smiths Detection,UK/Smiths Group PLC,"$5,500","$4,000","$1,500"
"data/Foreign Connected PACs, 2007-2008.csv",Sodexo Inc,France/Sodexo,"$34,500","$30,000","$4,500"
"data/Foreign Connected PACs, 2007-2008.csv",Solvay Pharmaceuticals,Belgium/Solvay SA,"$177,500","$52,000","$125,500"
"data/Foreign Connected PACs, 2007-2008.csv",Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$205,500","$151,500","$54,000"
"data/Foreign Connected PACs, 2007-2008.csv",Space Systems/Loral,UK/Loral Space & Communications,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Sparta Inc (Cobham Holdings),UK/Cobham plc,"$57,100","$15,000","$42,100"
"data/Foreign Connected PACs, 2007-2008.csv",Spirit Aerosystems (Onex Corp),Canada/Onex Corp,"$19,150","$3,500","$15,650"
"data/Foreign Connected PACs, 2007-2008.csv",SSAB Enterprises,Sweden/SSAB AB,"$45,250","$22,500","$22,750"
"data/Foreign Connected PACs, 2007-2008.csv",Sun Life Assurance of Canada (Sun Life Financial),Canada/Sun Life Financial,"$12,000","$10,000","$2,000"
"data/Foreign Connected PACs, 2007-2008.csv",Swedish Match North America,Sweden/Swedish Match AB,"$58,075","$23,227","$34,848"
"data/Foreign Connected PACs, 2007-2008.csv",Syngenta Corp,Switzerland/Syngenta AG,"$200,100","$92,500","$107,600"
"data/Foreign Connected PACs, 2007-2008.csv",T-Mobile USA,Germany/Deutsche Telekom AG,"$392,000","$215,500","$176,500"
"data/Foreign Connected PACs, 2007-2008.csv",Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$40,500","$18,000","$22,500"
"data/Foreign Connected PACs, 2007-2008.csv",Teck Cominco American,Canada/Teck Cominco,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$27,350","$15,100","$12,250"
"data/Foreign Connected PACs, 2007-2008.csv",Timex Group USA,Netherlands/Timex Group,$0,$0,$0
"data/Foreign Connected PACs, 2007-2008.csv",Tyco International (Tyco International),Ireland/Tyco International,"$190,000","$109,500","$80,500"
"data/Foreign Connected PACs, 2007-2008.csv",UBS Americas,Switzerland/UBS AG,"$842,500","$436,500","$406,000"
"data/Foreign Connected PACs, 2007-2008.csv",Ultra Electronics Prologic,UK/Ultra Electronics,"$45,000","$44,000","$1,000"
"data/Foreign Connected PACs, 2007-2008.csv",UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$2,600","$2,600",$0
"data/Foreign Connected PACs, 2007-2008.csv",United Water,France/SUEZ Environnement,"$13,150","$13,100",$50
"data/Foreign Connected PACs, 2007-2008.csv",Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$167,440","$98,040","$69,400"
"data/Foreign Connected PACs, 2007-2008.csv",VT Halter Marine,Singapore/ST Engineering,"$7,000","$1,000","$6,000"
"data/Foreign Connected PACs, 2007-2008.csv",Wackenhut Corp,Denmark/Group 4 Securicor,"$14,750","$5,000","$9,750"
"data/Foreign Connected PACs, 2007-2008.csv",Weatherford US,UK/Weatherford International,"$1,000","$1,000",$0
"data/Foreign Connected PACs, 2007-2008.csv",Westfield Corp,Australia/Westfield Group of Australia,"$22,158","$19,658","$2,500"
"data/Foreign Connected PACs, 2007-2008.csv",Westinghouse Electric,Japan/Toshiba Corp,"$27,100","$10,000","$17,100"
"data/Foreign Connected PACs, 2007-2008.csv",Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$101,579","$59,579","$42,000"
"data/Foreign Connected PACs, 2007-2008.csv",Willis North America,UK/Willis Group Holdings,"$18,000","$15,000","$3,000"
"data/Foreign Connected PACs, 2007-2008.csv",XL America,UK/XL Capital,"$10,900","$8,600","$2,300"
"data/Foreign Connected PACs, 2007-2008.csv",Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$200,211","$93,211","$107,000"
"data/Foreign Connected PACs, 2009-2010.csv",7-Eleven,Japan/Seven & I Holdings,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",ABB Group,Switzerland/Asea Brown Boveri,"$17,000","$7,500","$9,000"
"data/Foreign Connected PACs, 2009-2010.csv",Accenture (Accenture),Ireland/Accenture plc,"$337,400","$193,000","$143,400"
"data/Foreign Connected PACs, 2009-2010.csv",Accenture (Accenture),Ireland/Accenture plc,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",ACE INA,Switzerland/ACE Ltd,"$240,500","$129,500","$111,000"
"data/Foreign Connected PACs, 2009-2010.csv",AEGON USA,Netherlands/Aegon NV,"$186,000","$106,500","$79,500"
"data/Foreign Connected PACs, 2009-2010.csv",Agrium US,Canada/Agrium Inc,"$2,400",$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",Air Liquide America,France/L'Air Liquide SA,"$24,950","$18,200","$4,250"
"data/Foreign Connected PACs, 2009-2010.csv",Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",Alcatel-Lucent USA (Alcatel-Lucent),France/Alcatel-Lucent,"$21,000","$15,500","$5,500"
"data/Foreign Connected PACs, 2009-2010.csv",Alcon Laboratories (Novartis AG),Switzerland/Novartis,"$29,455","$8,455","$21,000"
"data/Foreign Connected PACs, 2009-2010.csv",Allianz of America (Allianz),Germany/Allianz AG Holding,"$84,850","$37,850","$47,000"
"data/Foreign Connected PACs, 2009-2010.csv",American Medical Response (Onex Corp),Canada/Onex Corp,"$44,200","$38,200","$6,000"
"data/Foreign Connected PACs, 2009-2010.csv",Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$854,500","$454,000","$399,500"
"data/Foreign Connected PACs, 2009-2010.csv",APL Ltd,Singapore/Neptune Orient Lines Ltd,"$62,500","$35,000","$25,000"
"data/Foreign Connected PACs, 2009-2010.csv",Arcadis US,Netherlands/Arcadis NV,"$237,750","$136,250","$97,500"
"data/Foreign Connected PACs, 2009-2010.csv",ArcelorMittal USA,Luxembourg/ArcelorMittal,"$60,500","$42,500","$18,000"
"data/Foreign Connected PACs, 2009-2010.csv",Arch Capital Group (US),UK/Arch Capital Group,"$12,800","$9,300","$3,500"
"data/Foreign Connected PACs, 2009-2010.csv",AREVA Inc,France/Areva Group,"$99,900","$62,400","$34,500"
"data/Foreign Connected PACs, 2009-2010.csv",Arkema Inc,France/Arkema,"$14,500","$8,500","$6,000"
"data/Foreign Connected PACs, 2009-2010.csv",Astellas US,Japan/Astellas Pharma,"$93,500","$56,000","$37,500"
"data/Foreign Connected PACs, 2009-2010.csv",AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$703,500","$368,000","$328,500"
"data/Foreign Connected PACs, 2009-2010.csv",Atlantic Marine (BAE Systems),UK/BAE Systems,"$20,500","$10,000","$10,500"
"data/Foreign Connected PACs, 2009-2010.csv",Aviva USA,UK/Aviva PLC,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",AXA Equitable Life Insurance (AXA),France/AXA,"$285,500","$171,500","$114,000"
"data/Foreign Connected PACs, 2009-2010.csv",AXIS Specialty US Services (AXIS Capital),UK/AXIS Captial,"$3,000","$3,000",$0
"data/Foreign Connected PACs, 2009-2010.csv",Bacardi USA,UK/Bacardi Ltd,"$20,025","$11,025","$8,000"
"data/Foreign Connected PACs, 2009-2010.csv",BAE Systems (BAE Systems),UK/BAE Systems,"$745,000","$418,500","$326,000"
"data/Foreign Connected PACs, 2009-2010.csv",Ballard Power Systems,Canada/Ballard Power Systems,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",BancWest Corp (BNP Paribas),France/BNP Paribas,$0,$0,$0
"data/Foreign Connected PACs, 2009-2010.csv",Barclays Group US (Barclays),UK/Barclays plc,"$104,000","$46,500","$57,500"
"data/Foreign Connected PACs, 2009-2010.csv",Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$152,500","$33,000","$104,500"
"data/Foreign Connected PACs, 2009-2010.csv",BASF Corp (BASF SE),Germany/BASF SE,"$350,500","$102,000","$246,500"
"data/Foreign Connected PACs, 2009-2010.csv",Bayer Corp,Germany/Bayer AG,"$419,000","$184,000","$231,000"
"data/Foreign Connected PACs, 2009-2010.csv",BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$164,000","$42,000","$122,000"
"data/Foreign Connected PACs, 2009-2010.csv",BMO Harris Bank,Canada/Bank of Montreal,"$2,050","$2,050",$0
"data/Foreign Connected PACs, 2009-2010.csv",Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$236,000","$132,500","$101,500"
"data/Foreign Connected PACs, 2009-2010.csv",Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$20,000","$19,000","$1,000"
"data/Foreign Connected PACs, 2009-2010.csv",BP North America,UK/BP PLC,"$71,500","$31,500","$35,000"
"data/Foreign Connected PACs, 2009-2010.csv",Bridgestone Americas,Japan/Bridgestone Corp,"$104,000","$65,500","$38,500"
"data/Foreign Connected PACs, 2009-2010.csv",Bumble Bee Foods,UK/Lion Capital,"$17,250","$12,750","$4,500"
"data/Foreign Connected PACs, 2009-2010.csv",Burson-Marsteller (WPP Group),UK/WPP Group,"$82,250","$50,750","$31,500"
"data/Foreign Connected PACs, 2009-2010.csv",Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$7,050","$1,000","$6,050"
"data/Foreign Connected PACs, 2009-2010.csv",CalPortland Co,Japan/Taiheiyo Cement Co,"$130,500","$22,000","$106,000"
"data/Foreign Connected PACs, 2009-2010.csv",Carmeuse Lime,Netherlands/LVI Holding,"$9,500","$8,000","$1,500"
"data/Foreign Connected PACs, 2009-2010.csv",Case New Holland,Italy/Fiat SPA,"$82,000","$5,000","$77,000"
"data/Foreign Connected PACs, 2009-2010.csv",CEMEX Inc,Mexico/CEMEX SAB de CV,"$260,800","$33,400","$225,000"
"data/Foreign Connected PACs, 2009-2010.csv",CGI Technologies & Solutions (CGI Group),Canada/CGI Group,"$62,854","$34,000","$28,854"
"data/Foreign Connected PACs, 2009-2010.csv",Ciba Inc (BASF SE),Germany/BASF SE,"$15,725","$7,725","$8,000"
"data/Foreign Connected PACs, 2009-2010.csv",Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$111,150","$89,150","$22,000"
"data/Foreign Connected PACs, 2009-2010.csv",Cobham Holdings (Cobham Holdings),UK/Cobham plc,"$15,000","$4,000","$11,000"
"data/Foreign Connected PACs, 2009-2010.csv",Cobham Management Services (Cobham PLC),UK/Cobham PLC,"$137,125","$70,400","$64,225"
"data/Foreign Connected PACs, 2009-2010.csv",Commonwealth Brands,UK/Imperial Tobacco Group,"$68,300","$27,300","$41,000"
"data/Foreign Connected PACs, 2009-2010.csv",Converteam Inc (Barclays),UK/Barclays,"$1,800","$1,800",$0
"data/Foreign Connected PACs, 2009-2010.csv",Cooper Industries,Ireland/Cooper Industries Ltd,"$63,000","$26,000","$37,000"
"data/Foreign Connected PACs, 2009-2010.csv",Covidien US,UK/Covidien Ltd,"$182,500","$104,000","$78,500"
"data/Foreign Connected PACs, 2009-2010.csv",Credit Suisse Securities,Switzerland/Credit Suisse Group,"$487,000","$246,500","$240,500"
"data/Foreign Connected PACs, 2009-2010.csv",CSL Behring,Australia/CSL Ltd,"$34,250","$17,250","$17,000"
"data/Foreign Connected PACs, 2009-2010.csv",Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$191,500","$65,500","$124,000"
"data/Foreign Connected PACs, 2009-2010.csv",Deutsche Bank Securities,Germany/Deutsche Bank AG,"$85,400","$48,400","$37,000"
"data/Foreign Connected PACs, 2009-2010.csv",DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$3,000","$3,000",$0
"data/Foreign Connected PACs, 2009-2010.csv",Diageo North America (Diageo PLC),UK/Diageo PLC,"$131,752","$87,919","$43,833"
